OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
00-0000,All Occupations,total,"144,733,270",0.1,24.98,"51,960",0.1,9.95,12.37,18.58,30.06,47.31,"20,690","25,740","38,640","62,510","98,410",,
11-0000,Management Occupations,major,"7,616,650",0.2,58.44,"121,560",0.1,23.68,34.08,50.11,72.93,#,"49,260","70,880","104,240","151,700",#,,
11-1000,Top Executives,minor,"2,535,640",0.3,61.66,"128,240",0.2,20.86,31.73,49.73,78.81,#,"43,400","66,000","103,450","163,930",#,,
11-1010,Chief Executives,broad,"195,530",0.7,96.22,"200,140",0.5,32.86,55.75,91.15,#,#,"68,360","115,960","189,600",#,#,,
11-1011,Chief Executives,detailed,"195,530",0.7,96.22,"200,140",0.5,32.86,55.75,91.15,#,#,"68,360","115,960","189,600",#,#,,
11-1020,General and Operations Managers,broad,"2,289,770",0.3,59.56,"123,880",0.2,21.50,31.56,48.52,75.54,#,"44,710","65,650","100,930","157,120",#,,
11-1021,General and Operations Managers,detailed,"2,289,770",0.3,59.56,"123,880",0.2,21.50,31.56,48.52,75.54,#,"44,710","65,650","100,930","157,120",#,,
11-1030,Legislators,broad,"50,330",2.3,*,"47,620",1.5,*,*,*,*,*,"17,510","18,840","24,670","72,800","98,890",TRUE,
11-1031,Legislators,detailed,"50,330",2.3,*,"47,620",1.5,*,*,*,*,*,"17,510","18,840","24,670","72,800","98,890",TRUE,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"717,220",0.5,68.03,"141,500",0.3,30.24,42.42,60.70,83.91,#,"62,900","88,240","126,250","174,540",#,,
11-2010,Advertising and Promotions Managers,broad,"25,260",3.0,63.99,"133,090",1.3,27.48,39.52,56.31,78.54,#,"57,150","82,200","117,130","163,370",#,,
11-2011,Advertising and Promotions Managers,detailed,"25,260",3.0,63.99,"133,090",1.3,27.48,39.52,56.31,78.54,#,"57,150","82,200","117,130","163,370",#,,
11-2020,Marketing and Sales Managers,broad,"619,500",0.6,68.75,"143,000",0.3,30.28,42.87,61.59,85.22,#,"62,990","89,160","128,100","177,260",#,,
11-2021,Marketing Managers,detailed,"240,440",0.8,70.79,"147,240",0.4,33.58,46.04,64.56,87.39,#,"69,840","95,770","134,290","181,780",#,,
11-2022,Sales Managers,detailed,"379,050",0.6,67.46,"140,320",0.3,28.34,40.76,59.72,83.42,#,"58,940","84,790","124,220","173,510",#,,
11-2030,Public Relations and Fundraising Managers,broad,"72,460",1.1,63.26,"131,570",0.7,30.89,40.44,55.19,76.33,#,"64,250","84,120","114,800","158,760",#,,
11-2031,Public Relations and Fundraising Managers,detailed,"72,460",1.1,63.26,"131,570",0.7,30.89,40.44,55.19,76.33,#,"64,250","84,120","114,800","158,760",#,,
11-3000,Operations Specialties Managers,minor,"1,853,660",0.3,63.79,"132,680",0.2,31.57,41.68,57.01,77.00,#,"65,660","86,700","118,580","160,160",#,,
11-3010,Administrative Services Managers,broad,"283,570",0.5,50.99,"106,050",0.3,26.44,34.54,46.24,61.11,79.55,"55,000","71,850","96,180","127,100","165,470",,
11-3011,Administrative Services Managers,detailed,"283,570",0.5,50.99,"106,050",0.3,26.44,34.54,46.24,61.11,79.55,"55,000","71,850","96,180","127,100","165,470",,
11-3020,Computer and Information Systems Managers,broad,"391,430",0.7,73.49,"152,860",0.4,41.05,52.94,68.53,86.63,#,"85,380","110,110","142,530","180,190",#,,
11-3021,Computer and Information Systems Managers,detailed,"391,430",0.7,73.49,"152,860",0.4,41.05,52.94,68.53,86.63,#,"85,380","110,110","142,530","180,190",#,,
11-3030,Financial Managers,broad,"608,120",0.6,70.59,"146,830",0.4,32.51,43.95,61.53,85.98,#,"67,620","91,420","127,990","178,840",#,,
11-3031,Financial Managers,detailed,"608,120",0.6,70.59,"146,830",0.4,32.51,43.95,61.53,85.98,#,"67,620","91,420","127,990","178,840",#,,
11-3050,Industrial Production Managers,broad,"181,310",0.7,54.51,"113,370",0.3,30.51,38.72,49.70,64.45,82.76,"63,470","80,530","103,380","134,060","172,150",,
11-3051,Industrial Production Managers,detailed,"181,310",0.7,54.51,"113,370",0.3,30.51,38.72,49.70,64.45,82.76,"63,470","80,530","103,380","134,060","172,150",,
11-3060,Purchasing Managers,broad,"69,490",0.8,60.40,"125,630",0.4,33.59,43.49,57.18,72.10,89.93,"69,860","90,460","118,940","149,960","187,060",,
11-3061,Purchasing Managers,detailed,"69,490",0.8,60.40,"125,630",0.4,33.59,43.49,57.18,72.10,89.93,"69,860","90,460","118,940","149,960","187,060",,
11-3070,"Transportation, Storage, and Distribution Managers",broad,"124,810",1.0,49.45,"102,850",0.4,26.95,34.78,45.54,59.40,76.14,"56,050","72,340","94,730","123,550","158,370",,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"124,810",1.0,49.45,"102,850",0.4,26.95,34.78,45.54,59.40,76.14,"56,050","72,340","94,730","123,550","158,370",,
11-3110,Compensation and Benefits Managers,broad,"15,660",1.5,63.87,"132,860",0.8,33.93,43.98,58.18,77.14,98.78,"70,560","91,480","121,010","160,450","205,470",,
11-3111,Compensation and Benefits Managers,detailed,"15,660",1.5,63.87,"132,860",0.8,33.93,43.98,58.18,77.14,98.78,"70,560","91,480","121,010","160,450","205,470",,
11-3120,Human Resources Managers,broad,"143,580",0.6,60.91,"126,700",0.4,32.15,41.23,54.47,73.44,96.82,"66,870","85,750","113,300","152,760","201,380",,
11-3121,Human Resources Managers,detailed,"143,580",0.6,60.91,"126,700",0.4,32.15,41.23,54.47,73.44,96.82,"66,870","85,750","113,300","152,760","201,380",,
11-3130,Training and Development Managers,broad,"35,690",1.2,58.53,"121,730",0.5,30.58,39.98,53.53,71.64,92.77,"63,600","83,160","111,340","149,010","192,970",,
11-3131,Training and Development Managers,detailed,"35,690",1.2,58.53,"121,730",0.5,30.58,39.98,53.53,71.64,92.77,"63,600","83,160","111,340","149,010","192,970",,
11-9000,Other Management Occupations,minor,"2,510,140",0.3,48.51,"100,900",0.2,21.13,29.90,43.33,60.59,80.02,"43,960","62,200","90,120","126,040","166,430",,
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,770",5.4,38.43,"79,940",2.7,17.04,24.10,32.67,48.11,65.84,"35,440","50,130","67,950","100,070","136,940",,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,770",5.4,38.43,"79,940",2.7,17.04,24.10,32.67,48.11,65.84,"35,440","50,130","67,950","100,070","136,940",,
11-9020,Construction Managers,broad,"278,460",0.9,49.57,"103,110",0.4,26.56,33.98,44.89,59.48,77.65,"55,240","70,670","93,370","123,720","161,510",,
11-9021,Construction Managers,detailed,"278,460",0.9,49.57,"103,110",0.4,26.56,33.98,44.89,59.48,77.65,"55,240","70,670","93,370","123,720","161,510",,
11-9030,Education Administrators,broad,"498,200",0.6,46.65,"97,030",0.5,23.47,32.23,43.30,57.03,73.45,"48,810","67,050","90,060","118,620","152,770",,
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"50,650",1.6,25.96,"53,990",1.0,14.85,18.08,23.05,30.05,40.25,"30,900","37,610","47,940","62,500","83,730",,
11-9032,"Education Administrators, Elementary and Secondary School",detailed,"263,120",0.8,*,"98,750",0.6,*,*,*,*,*,"61,490","75,680","95,310","119,540","144,950",TRUE,
11-9033,"Education Administrators, Postsecondary",detailed,"143,430",1.3,53.47,"111,210",0.8,26.29,33.46,45.36,63.63,91.63,"54,680","69,600","94,340","132,350","190,600",,
11-9039,"Education Administrators, All Other",detailed,"41,000",1.6,43.06,"89,570",0.9,21.22,28.51,39.83,53.63,67.79,"44,130","59,310","82,850","111,550","141,000",,
11-9040,Architectural and Engineering Managers,broad,"188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,#,"89,620","112,400","140,760","173,180",#,,
11-9041,Architectural and Engineering Managers,detailed,"188,290",0.9,71.62,"148,970",0.4,43.09,54.04,67.67,83.26,#,"89,620","112,400","140,760","173,180",#,,
11-9050,Food Service Managers,broad,"219,160",1.7,28.35,"58,960",0.6,15.18,19.54,26.08,34.23,44.43,"31,580","40,650","54,240","71,200","92,410",,
11-9051,Food Service Managers,detailed,"219,160",1.7,28.35,"58,960",0.6,15.18,19.54,26.08,34.23,44.43,"31,580","40,650","54,240","71,200","92,410",,
11-9060,Funeral Service Managers,broad,"8,400",4.0,45.11,"93,820",2.8,19.91,28.83,38.07,53.30,72.92,"41,410","59,970","79,180","110,870","151,680",,
11-9061,Funeral Service Managers,detailed,"8,400",4.0,45.11,"93,820",2.8,19.91,28.83,38.07,53.30,72.92,"41,410","59,970","79,180","110,870","151,680",,
11-9070,Gaming Managers,broad,"4,300",3.9,40.99,"85,260",1.1,22.67,28.36,35.91,47.00,64.66,"47,150","58,980","74,700","97,770","134,490",,
11-9071,Gaming Managers,detailed,"4,300",3.9,40.99,"85,260",1.1,22.67,28.36,35.91,47.00,64.66,"47,150","58,980","74,700","97,770","134,490",,
11-9080,Lodging Managers,broad,"37,050",2.5,29.94,"62,270",1.0,14.84,18.88,25.67,35.74,49.24,"30,860","39,270","53,390","74,350","102,410",,
11-9081,Lodging Managers,detailed,"37,050",2.5,29.94,"62,270",1.0,14.84,18.88,25.67,35.74,49.24,"30,860","39,270","53,390","74,350","102,410",,
11-9110,Medical and Health Services Managers,broad,"372,670",0.6,54.68,"113,730",0.4,28.21,36.56,47.95,62.89,87.79,"58,680","76,050","99,730","130,820","182,600",,
11-9111,Medical and Health Services Managers,detailed,"372,670",0.6,54.68,"113,730",0.4,28.21,36.56,47.95,62.89,87.79,"58,680","76,050","99,730","130,820","182,600",,
11-9120,Natural Sciences Managers,broad,"60,260",2.0,67.16,"139,680",1.1,31.25,44.44,59.55,79.76,#,"65,000","92,430","123,860","165,900",#,,
11-9121,Natural Sciences Managers,detailed,"60,260",2.0,67.16,"139,680",1.1,31.25,44.44,59.55,79.76,#,"65,000","92,430","123,860","165,900",#,,
